row_idx	col_idx	log2ratio
24	27	2893
25	27	3012
26	27	1541
27	27	4680
28	27	2568
29	27	388
30	27	932
31	27	23896
32	27	2716
33	27	86718
34	27	9472
35	27	2775
36	27	28597
37	27	3361
38	27	3973
39	27	38057
40	27	1825
41	27	5546
42	27	809
43	27	13987
44	27	75953
45	27	7829
46	27	2866
47	27	23945
48	27	21574
49	27	9755
50	27	10448
51	27	1148
1	28	2125
2	28	537
3	28	10107
4	28	2994
5	28	67434
6	28	4902
7	28	28902
8	28	105
9	28	453
10	28	1427
11	28	2478
12	28	6395
13	28	703
14	28	13649
15	28	3769
16	28	7679
17	28	3046
18	28	2213
19	28	167
20	28	6636
21	28	2290
22	28	46745
23	28	22520
24	28	7146
25	28	1499
26	28	3991
27	28	2861
28	28	166
29	28	392
30	28	4631
31	28	51559
32	28	4881
33	28	38542
34	28	1259
35	28	2508
36	28	15356
37	28	2976
38	28	4897
39	28	18647
40	28	5409
41	28	1173
42	28	422
43	28	5876
44	28	39466
45	28	791
46	28	7106
47	28	4310
48	28	11068
49	28	3839
50	28	51103
51	28	555
1	29	7117
2	29	2511
3	29	6785
4	29	8637
5	29	32254
6	29	14190
7	29	2697
8	29	866
9	29	1596
10	29	5149
11	29	4770
12	29	5154
13	29	1994
14	29	42124
15	29	16415
16	29	8309
17	29	4254
18	29	17687
19	29	2112
20	29	1082
21	29	8736
22	29	3522
23	29	40333
24	29	1320
25	29	2248
26	29	5200
27	29	6669
28	29	2495
29	29	138
30	29	200
31	29	19110
32	29	3992
33	29	49716
34	29	7705
35	29	2222
36	29	43946
37	29	10011
38	29	2293
39	29	43664
40	29	188
41	29	8576
42	29	581
43	29	21071
44	29	66685
45	29	2299
46	29	1285
47	29	23616
48	29	12842
49	29	10903
50	29	26782
51	29	1999
1	30	9320
2	30	958
3	30	7886
4	30	1358
5	30	50403
6	30	2887
7	30	9672
8	30	333
9	30	876
10	30	5262
11	30	5860
12	30	5059
13	30	3126
14	30	9692
15	30	8167
16	30	8984
17	30	13
18	30	16331
19	30	1080
20	30	4516
21	30	2289
22	30	10945
23	30	17777
24	30	7508
25	30	1283
26	30	4283
27	30	3526
28	30	234
29	30	1540
30	30	395
31	30	26279
32	30	6330
33	30	38255
34	30	1906
35	30	3851
36	30	8181
37	30	1508
38	30	15053
39	30	12826
40	30	618
41	30	5644
42	30	543
43	30	15659
44	30	42797
45	30	14454
46	30	2863
47	30	4946
48	30	16735
49	30	3411
50	30	37181
51	30	218
1	31	7664
2	31	1259
3	31	9845
4	31	3002
5	31	35074
6	31	9436
7	31	15792
8	31	515
9	31	1420
10	31	12347
11	31	6664
12	31	575
13	31	3824
14	31	23045
15	31	18173
16	31	12560
17	31	71
18	31	18348
19	31	285
20	31	4367
21	31	6287
22	31	35819
23	31	40667
24	31	1254
25	31	1408
26	31	3450
27	31	7096
28	31	1505
29	31	198
30	31	2138
31	31	25274
32	31	8082
33	31	60457
34	31	4103
35	31	4330
36	31	30025
37	31	7206
38	31	9088
39	31	33968
40	31	4263
41	31	10879
42	31	121
43	31	27544
44	31	82299
45	31	3877
46	31	2087
47	31	21533
48	31	10654
49	31	12125
50	31	64000
51	31	1365
1	32	3467
2	32	1829
3	32	9067
4	32	816
5	32	38951
6	32	7037
7	32	13030
8	32	616
9	32	397
10	32	3592
11	32	445
12	32	3686
13	32	1624
14	32	9611
15	32	4595
16	32	11468
17	32	0
18	32	6647
19	32	68
20	32	2588
21	32	2333
22	32	6305
23	32	11469
24	32	2694
25	32	1421
26	32	3605
27	32	4185
28	32	410
29	32	614
30	32	456
31	32	30207
32	32	4448
33	32	23392
34	32	3260
35	32	5559
36	32	12029
37	32	668
38	32	7815
39	32	27808
40	32	308
41	32	1946
42	32	861
43	32	9720
44	32	33917
45	32	5837
46	32	2034
47	32	13801
48	32	14457
49	32	7538
50	32	14972
51	32	900
1	33	2075
2	33	1456
3	33	4305
4	33	1596
5	33	22222
6	33	6806
7	33	11057
8	33	956
9	33	1210
10	33	3723
11	33	217
12	33	5322
13	33	2831
14	33	22656
15	33	10427
16	33	1764
17	33	0
18	33	10734
19	33	244
20	33	4027
21	33	3251
22	33	21703
23	33	35379
24	33	4325
25	33	1665
26	33	751
27	33	2132
28	33	210
29	33	765
30	33	1135
31	33	10697
32	33	65
33	33	46685
34	33	1239
35	33	2476
36	33	18605
37	33	1208
38	33	11074
39	33	6767
40	33	1948
41	33	1284
42	33	120
43	33	19158
44	33	49678
45	33	4966
46	33	3475
47	33	7396
48	33	13023
49	33	3528
50	33	43191
51	33	694
