YEAR	STATE	SUM	REGION
1935	FLORIDA	1174	South
1935	GEORGIA	31	South
1935	HAWAII	0	West
1935	IDAHO	877	West
1935	ILLINOIS	58229	Midwest
1935	INDIANA	9967	Midwest
1935	IOWA	21849	Midwest
1935	KANSAS	26190	Midwest
1935	KENTUCKY	14667	South
1935	LOUISIANA	2613	South
1935	MAINE	7171	Northeast
1935	MARYLAND	2302	South
1935	MASSACHUSETTS	12453	Northeast
1935	MICHIGAN	77451	Midwest
1935	MINNESOTA	28855	Midwest
1935	MISSISSIPPI	0	South
1935	MISSOURI	13110	Midwest
1935	MONTANA	7824	West
1935	NEBRSKA	8795	Midwest
1935	NEVADA	0	West
1935	NEW HAMPSHIRE	265	Northeast
1935	NEW JERSEY	32392	Northeast
1935	NEW MEXICO	703	West
1935	NEW YORK	69073	Northeast
1935	NORTH CAROLINA	10763	South
1935	NORTH DAKOTA	1946	Midwest
1935	OHIO	36976	Midwest
1935	OKLAHOMA	2456	South
1935	OREGON	7061	West
1935	PENNSYLVANIA	89661	Northeast
1935	RHODE ISLAND	6740	Northeast
1935	SOUTH CAROLINA	818	South
1935	SOUTH DAKOTA	1127	Midwest
1935	TENNESSEE	1436	South
1935	TEXAS	3923	South
1935	UTAH	264	West
1935	VERMONT	1390	Northeast
1935	VIRGINIA	18329	South
1935	WASHINGTON	8560	West
1935	WEST VIRGINIA	10870	South
1935	WISCONSIN	43453	Midwest
1935	WYOMING	2217	West
1936	ALABAMA	570	South
1936	ALASKA	0	West
1936	ARIZONA	2328	West
1936	ARKANSAS	107	South
1936	CALIFORNIA	49050	West
1936	COLORADO	597	West
1936	CONNECTICUT	3828	Northeast
1936	DELAWARE	1407	South
1936	DISTRICT OF COLUMBIA	2111	South
1936	FLORIDA	302	South
1936	GEORGIA	8	South
1936	HAWAII	0	West
1936	IDAHO	1300	West
1936	ILLINOIS	1207	Midwest
1936	INDIANA	706	Midwest
1936	IOWA	200	Midwest
1936	KANSAS	433	Midwest
1936	KENTUCKY	2205	South
1936	LOUISIANA	1296	South
1936	MAINE	7492	Northeast
1936	MARYLAND	7073	South
1936	MASSACHUSETTS	26731	Northeast
1936	MICHIGAN	2333	Midwest
1936	MINNESOTA	7738	Midwest
1936	MISSISSIPPI	0	South
1936	MISSOURI	660	Midwest
1936	MONTANA	452	West
1936	NEBRSKA	1173	Midwest
1936	NEVADA	0	West
1936	NEW HAMPSHIRE	892	Northeast
1936	NEW JERSEY	8783	Northeast
1936	NEW MEXICO	1149	West
1936	NEW YORK	64366	Northeast
1936	NORTH CAROLINA	1347	South
1936	NORTH DAKOTA	110	Midwest
1936	OHIO	9285	Midwest
1936	OKLAHOMA	360	South
1936	OREGON	9421	West
1936	PENNSYLVANIA	23783	Northeast
1936	RHODE ISLAND	2529	Northeast
1936	SOUTH CAROLINA	859	South
1936	SOUTH DAKOTA	224	Midwest
1936	TENNESSEE	1400	South
1936	TEXAS	7776	South
1936	UTAH	621	West
1936	VERMONT	10620	Northeast
1936	VIRGINIA	3263	South
1936	WASHINGTON	7665	West
1936	WEST VIRGINIA	1144	South
1936	WISCONSIN	3900	Midwest
1936	WYOMING	138	West
1937	ALABAMA	620	South
1937	ALASKA	0	West
1937	ARIZONA	3793	West
1937	ARKANSAS	322	South
1937	CALIFORNIA	5107	West
1937	COLORADO	1027	West
1937	CONNECTICUT	10181	Northeast
1937	DELAWARE	1796	South
1937	DISTRICT OF COLUMBIA	2053	South
1937	FLORIDA	394	South
1937	GEORGIA	0	South
1937	HAWAII	0	West
1937	IDAHO	1233	West
1937	ILLINOIS	11545	Midwest
1937	INDIANA	7088	Midwest
1937	IOWA	269	Midwest
1937	KANSAS	782	Midwest
1937	KENTUCKY	6842	South
1937	LOUISIANA	468	South
1937	MAINE	1131	Northeast
1937	MARYLAND	12246	South
1937	MASSACHUSETTS	20846	Northeast
1937	MICHIGAN	5743	Midwest
1937	MINNESOTA	690	Midwest
1937	MISSISSIPPI	0	South
1937	MISSOURI	7073	Midwest
1937	MONTANA	619	West
1937	NEBRSKA	462	Midwest
1937	NEVADA	0	West
1937	NEW HAMPSHIRE	1891	Northeast
1937	NEW JERSEY	45334	Northeast
1937	NEW MEXICO	2451	West
1937	NEW YORK	27404	Northeast
1937	NORTH CAROLINA	7652	South
1937	NORTH DAKOTA	55	Midwest
1937	OHIO	24944	Midwest
1937	OKLAHOMA	1065	South
1937	OREGON	400	West
